,0
1164,955.1
1165,939.79
1166,938.6
1167,950.87
1168,956.4
1169,961.35
1170,959.19
1171,957.1
1172,965.45
1173,980.85
1174,989.58
1175,990.99
1176,987.2
1177,995.0
1178,1000.93
1179,1002.94
1180,1006.34
1181,1009.13
1182,997.0
1183,986.61
1184,982.91
1185,966.3
1186,975.9
1187,972.91
1188,972.43
1189,1100.95
1190,1110.85
1191,1105.28
1192,1103.68
1193,1094.22
1194,1111.6
1195,1120.66
1196,1123.17
1197,1132.88
1198,1129.13
1199,1125.35
1200,1129.17
1201,1136.84
1202,1126.69
1203,1137.29
1204,1129.88
1205,1126.31
1206,1139.49
1207,1156.16
1208,1186.0
1209,1195.83
1210,1193.6
1211,1161.27
1212,1176.75
1213,1162.35
1214,1133.95
1215,1141.57
1216,1152.35
1217,1159.79
1218,1162.0
1219,1168.92
1220,1165.08
1221,1164.13
1222,1174.26
1223,1179.14
1224,1190.58
1225,1187.38
1226,1177.62
1227,1174.76
1228,1168.36
1229,1176.76
1230,1182.26
1231,1186.1
1232,1169.47
1233,1189.01
1234,1204.2
1235,1209.59
1236,1229.14
1237,1246.87
1238,1252.7
1239,1254.33
1240,1276.68
1241,1305.2
1242,1304.86
1243,1295.0
1244,1293.32
1245,1294.58
1246,1327.31
1247,1362.54
1248,1357.51
1249,1377.95
1250,1402.05
1251,1417.68
1252,1437.82
1253,1450.89
1254,1390.0
1255,1429.95
1256,1390.0
1257,1442.84
1258,1416.78
